feature,accuracy
f99,0.7240366666666667
f93,0.7239966666666666
f0,0.72399
BASELINE,0.7239833333333333
f46,0.7239666666666666
f92,0.7239433333333334
f52,0.72394
f87,0.7239333333333333
f18,0.7239233333333334
f38,0.7239166666666667
f72,0.7239166666666667
f39,0.72391
f85,0.7238933333333334
f73,0.7238933333333334
f74,0.7238733333333334
f63,0.7238366666666667
f13,0.7238366666666667
f89,0.7237733333333334
f69,0.7237133333333333
f68,0.72371
f7,0.7236833333333333
f12,0.72365
f59,0.7236433333333333
f76,0.7236266666666666
f19,0.7236166666666667
f6,0.7235366666666667
f58,0.72353
f78,0.7235166666666667
f56,0.7235133333333333
f88,0.72351
f86,0.7235033333333334
f23,0.7234866666666666
f29,0.7234566666666666
f79,0.7234366666666666
f61,0.72343
f84,0.7234266666666667
f33,0.7233766666666667
f90,0.72336
f14,0.7233166666666667
f62,0.7232233333333333
f35,0.7232166666666666
f65,0.7232166666666666
f28,0.7232
f83,0.7231266666666667
f75,0.7231266666666667
f16,0.7230766666666667
f42,0.72287
f51,0.7228166666666667
f31,0.72281
f70,0.7227733333333334
f9,0.7226866666666667
f4,0.7226833333333333
f48,0.7226633333333333
f64,0.7226433333333333
f77,0.72263
f32,0.7224533333333333
f2,0.72245
f49,0.7223733333333333
f37,0.72235
f15,0.72219
f67,0.7220233333333334
f11,0.7219666666666666
f53,0.72196
f20,0.72193
f44,0.7217666666666667
f45,0.7217433333333333
f36,0.7217133333333333
f30,0.72168
f94,0.72163
f95,0.7212733333333333
f98,0.7205766666666666
f24,0.7205533333333334
f60,0.7199066666666667
f47,0.7198
f10,0.7196866666666667
f1,0.7193233333333333
f5,0.7182366666666666
f3,0.71661
f17,0.7166066666666666
f40,0.7162633333333334
f54,0.71602
f26,0.7152766666666667
f21,0.7144833333333334
f81,0.7144
f82,0.7124666666666667
f96,0.7095
f22,0.7076533333333334
f66,0.7076433333333333
f57,0.7073333333333334
f25,0.7067
f97,0.70419
f41,0.70317
f50,0.7018266666666667
f27,0.69694
f71,0.6919766666666667
f80,0.6916333333333333
f91,0.6907733333333334
f8,0.6899
f43,0.68929
f55,0.6848733333333333
f34,0.6790133333333334
